applicant_id,name,name_first,name_last,address_full,state,zip_code,dob,age,fico,loan_to_value,gender,occupation,loan_term,rate_type,denied
10091,Julie Garcia,Julie,Garcia,"388 Brown Corners
Jessicachester, MA 56579",MA,56579,1964-11-29,58,355.0,92.64,female,nurse,30,FIXED,1
10092,Richard Spencer,Richard,Spencer,"5973 Amanda Route
Johnfurt, AK 87494",AK,87494,1962-05-16,60,360.0,77.47,male,accountant,30,FIXED,1
10093,Janet Thomas,Janet,Thomas,"4961 Daniels Tunnel
Port Lindaport, MD 40683",MD,40683,1973-06-29,49,798.0,20.13,female,student,30,FIXED,0
10094,Cindy Garcia,Cindy,Garcia,"033 Freeman Hills
West Christopher, WV 72235",WV,72235,1963-12-16,59,791.0,49.07,female,mason,30,FIXED,0
10095,Nicole Robertson,Nicole,Robertson,"Unit 6511 Box 2674
DPO AA 39223",AA,39223,1984-09-19,38,466.0,74.16,female,stockbroker,30,FIXED,1
10096,Courtney Hall,Courtney,Hall,"041 David Ferry
Ronaldfort, MI 77069",MI,77069,2000-03-09,23,355.0,83.19,female,mason,30,FIXED,1
10097,Rachel Edwards,Rachel,Edwards,"56097 Kevin Ford Apt. 042
East Davidstad, OK 02929",OK,02929,1978-12-04,44,806.0,42.13,female,data scientist,30,FIXED,1
10098,Shannon Taylor,Shannon,Taylor,"787 Robert Point Apt. 322
Lake Aliciamouth, IA 73747",IA,73747,1979-06-04,43,604.0,57.49,female,salesman,30,FIXED,0
10099,Christopher Santana,Christopher,Santana,"975 Gloria Station
South Tristan, FL 02427",FL,02427,1983-09-09,39,547.0,67.46,male,doctor,30,FIXED,1
10100,Jordan Howard,Jordan,Howard,"494 Jennifer Cliffs Apt. 492
Wrightland, ID 14888",ID,14888,1961-05-13,61,802.0,23.58,male,teacher,30,FIXED,0
10101,James Martin,James,Martin,"994 Mccormick Port
Atkinsonborough, FL 07873",FL,07873,1989-11-29,33,336.0,91.73,male,fireman,30,FIXED,1
10102,Pamela Krueger,Pamela,Krueger,"229 Casey Gardens Apt. 396
Danielside, TX 67018",TX,67018,1966-06-11,56,356.0,78.53,female,doctor,30,FIXED,1
10103,Jessica Taylor,Jessica,Taylor,"14240 Haley Rest
West Erica, CA 81340",CA,81340,1977-08-15,45,804.0,34.31,female,dentist,30,FIXED,0
10104,Wendy Rodriguez,Wendy,Rodriguez,"29315 Michael Viaduct
West Amandafurt, PA 89101",PA,89101,1978-10-31,44,746.0,32.99,female,plumber,30,FIXED,0
10105,Donna Wilson,Donna,Wilson,"840 Kathy Extensions
Lake Valerieberg, KS 83874",KS,83874,1959-08-15,63,331.0,86.45,female,nurse,15,FIXED,1
10106,Brandy Wilson,Brandy,Wilson,"5485 Steve Roads
Riveraborough, MP 14423",MP,14423,1966-06-13,56,502.0,71.95,female,fireman,30,FIXED,1
10107,Jennifer Moore,Jennifer,Moore,"Unit 1084 Box 0004
DPO AA 52527",AA,52527,1986-09-19,36,726.0,37.69,female,retired,30,FIXED,0
10108,Christopher Barber DDS,Christopher,Barber,"21996 Lee Rapids
Lake Jodyton, IL 68862",IL,68862,1963-10-29,59,796.0,28.9,male,contractor,15,FIXED,0
10109,James Banks,James,Banks,"02055 James Drive Apt. 245
Lonnieport, TN 30608",TN,30608,1984-04-05,39,711.0,41.29,male,dentist,30,FIXED,0
10110,Brenda Smith,Brenda,Smith,"0677 Cindy Station Suite 055
Rodriguezhaven, NE 16433",NE,16433,1969-04-21,54,803.0,34.88,female,software developer,30,FIXED,0
10111,Katherine Taylor,Katherine,Taylor,"97804 Garza Park Apt. 401
Heathermouth, MA 26611",MA,26611,1978-08-20,44,811.0,32.15,female,salesman,30,FIXED,0
10112,Gary Mcdonald,Gary,Mcdonald,"30583 Russell Burg
West Pamela, ND 93875",ND,93875,1961-05-07,61,352.0,88.08,male,mechanic,30,FIXED,1
10113,Jennifer Wolfe,Jennifer,Wolfe,"552 Cheryl Port
Lake Ashleymouth, OH 70131",OH,70131,1985-03-02,38,578.0,68.34,female,doctor,30,FIXED,1
10114,Robert Archer,Robert,Archer,"915 Carmen Greens
Andersonland, NM 70617",NM,70617,1982-09-30,40,792.0,47.54,male,stockbroker,30,FIXED,1
10115,Mr. Christopher Rivera,Christopher,Rivera,"0147 Lori Crossing
New Daisyland, TN 66354",TN,66354,1992-08-10,30,798.0,37.38,male,teacher,30,FIXED,0
10116,Matthew Paul,Matthew,Paul,"PSC 2110, Box 4462
APO AA 61970",AA,61970,1990-07-26,32,811.0,27.2,male,salesman,30,FIXED,0
10117,Jordan Thomas,Jordan,Thomas,"318 Jones Road
Port Joshua, AK 56697",AK,56697,1998-12-16,24,790.0,33.67,male,student,30,FIXED,0
10118,Anthony Rojas,Anthony,Rojas,"493 Mckenzie Lake Apt. 822
Rileybury, NE 30290",NE,30290,1979-10-30,43,334.0,83.92,male,accountant,30,FIXED,1
10119,Andrew Short,Andrew,Short,"656 Larry Causeway Suite 610
East Theresa, WI 46135",WI,46135,1955-02-19,68,811.0,26.56,male,software developer,30,FIXED,0
10120,Anthony Norris,Anthony,Norris,"93610 Johnson Shoals
Alexfurt, MN 19685",MN,19685,1963-05-14,59,356.0,92.01,male,mechanic,30,FIXED,1
10121,Christina Young,Christina,Young,"2131 Jason Road
Port Deborahton, IN 12825",IN,12825,1999-08-20,23,350.0,84.35,female,fireman,30,FIXED,1
10122,Rachel Moore,Rachel,Moore,"5203 Reed Turnpike
West Susan, AL 03849",AL,03849,1973-06-24,49,803.0,43.77,female,software developer,30,FIXED,0
10123,Brent Moore,Brent,Moore,"43587 Christopher Points
Port Anthonyland, OK 04468",OK,04468,1954-05-14,68,510.0,58.98,male,data scientist,30,FIXED,1
10124,James Russell,James,Russell,"051 Young Lane
North Bruce, DE 85320",DE,85320,1980-06-15,42,343.0,74.79,male,mason,30,FIXED,1
10125,Jennifer Mitchell,Jennifer,Mitchell,"357 Michael Road Suite 899
Ryanstad, MI 02482",MI,02482,1992-12-19,30,784.0,22.52,female,teacher,30,FIXED,0
10126,Sarah Norman,Sarah,Norman,"PSC 5559, Box 4252
APO AA 84038",AA,84038,1996-06-01,26,647.0,69.08,female,accountant,30,FIXED,0
10127,Dr. Randall Johnson,Randall,Johnson,"5511 Harrell Parks
Ginamouth, HI 84757",HI,84757,2000-04-07,23,437.0,76.55,male,mechanic,30,FIXED,1
10128,Fernando Barrera,Fernando,Barrera,"927 Wendy Rapids Suite 911
Colemanville, NJ 77839",NJ,77839,1959-02-19,64,801.0,1.42,male,retired,30,FIXED,0
10129,John Mclean,John,Mclean,"052 Rivera Glen Suite 498
West Timothyland, ME 24790",ME,24790,1965-03-31,58,422.0,92.79,male,investment banker,30,FIXED,1
10130,Rodney Hill,Rodney,Hill,"058 Joseph Lodge
Jessicachester, OK 02022",OK,02022,1990-05-19,32,364.0,91.89,male,librarian,30,FIXED,1
10131,Judy Dennis,Judy,Dennis,"PSC 1718, Box 1166
APO AP 29530",AP,29530,1961-11-19,61,775.0,20.72,female,retired,30,FIXED,0
10132,Karen Fields,Karen,Fields,"813 Ariana Inlet
West Amber, MT 91135",MT,91135,1959-06-17,63,538.0,51.74,female,salesman,30,FIXED,1
10133,Rebekah Christensen,Rebekah,Christensen,"185 Angela Shoal
Michaelton, TX 52767",TX,52767,1988-08-17,34,756.0,52.65,female,dentist,30,FIXED,0
10134,Nicholas Smith,Nicholas,Smith,"PSC 2347, Box 9852
APO AA 80891",AA,80891,1994-06-28,28,615.0,72.42,male,electrician,30,FIXED,0
10135,Brandon Valdez DDS,Brandon,Valdez,"8494 Rogers Lakes Apt. 679
West Hayleyborough, GU 75459",GU,75459,1994-07-21,28,386.0,77.03,male,electrician,30,FIXED,1
10136,Jonathan Conner,Jonathan,Conner,"003 Gibson Manors Apt. 263
Stephaniechester, ID 89441",ID,89441,1979-01-22,44,801.0,30.13,male,dentist,30,FIXED,0
10137,Shaun Jackson,Shaun,Jackson,"9456 Janet Islands
North Kristinaside, MD 57768",MD,57768,1994-04-18,29,496.0,69.15,male,student,30,FIXED,1
10138,Christopher Wyatt,Christopher,Wyatt,"0677 Ryan Freeway Suite 571
North Pamela, MI 92074",MI,92074,2000-05-05,22,357.0,92.33,male,stockbroker,30,FIXED,1
10139,Jeremy Ortega,Jeremy,Ortega,"24894 Lewis Drives
Lake Alan, MI 62808",MI,62808,1958-02-12,65,350.0,85.16,male,stockbroker,15,FIXED,1
10140,Carlos Fuentes,Carlos,Fuentes,"27717 Baker Union Suite 650
Markville, TN 02688",TN,02688,1987-09-20,35,354.0,93.27,male,stockbroker,30,FIXED,1
10141,Chloe Black,Chloe,Black,"596 Gutierrez Port
New Jamesport, SC 08776",SC,08776,1966-09-27,56,562.0,62.74,female,accountant,30,FIXED,0
10142,Jessica Carroll,Jessica,Carroll,"8137 Young Lane
Tuckerton, MA 23486",MA,23486,1992-05-24,30,456.0,70.05,female,salesman,30,FIXED,1
10143,Meredith Patterson,Meredith,Patterson,"USNS Shaw
FPO AE 40222",AE,40222,1979-11-16,43,419.0,72.83,female,fireman,30,FIXED,1
10144,Vicki Mccarthy,Vicki,Mccarthy,"427 David Roads Apt. 224
Frankberg, PW 42174",PW,42174,1954-06-09,68,460.0,74.06,female,contractor,30,FIXED,1
10145,Victor Ross,Victor,Ross,"63552 Jennifer Street
Shanehaven, KY 22994",KY,22994,1985-08-25,37,575.0,64.14,male,accountant,30,FIXED,0
10146,Nicole Young,Nicole,Young,"119 Mary Square
Michaeltown, PR 24494",PR,24494,1964-05-09,58,334.0,79.77,female,salesman,30,FIXED,1
10147,Kathryn Smith,Kathryn,Smith,"55468 Kelly Motorway
Kleinmouth, AR 76714",AR,76714,1987-04-30,35,363.0,88.28,female,student,30,FIXED,1
10148,Carol Dunlap,Carol,Dunlap,"Unit 4323 Box 9323
DPO AP 98842",AP,98842,1988-11-18,34,776.0,45.53,female,student,30,FIXED,0
10149,Lucas Shea,Lucas,Shea,"5402 Kimberly Highway Suite 160
New Glenn, AK 16518",AK,16518,1958-05-15,64,493.0,68.13,male,mechanic,30,FIXED,1
10150,Yolanda Owens,Yolanda,Owens,"3088 Julia Greens
Harperfort, UT 13193",UT,13193,1966-01-12,57,344.0,89.44,female,dentist,30,FIXED,1
10151,Anna Smith,Anna,Smith,"93869 Devin Shoals
West Alan, UT 60294",UT,60294,1952-12-11,70,780.0,23.58,female,teacher,30,FIXED,0
10152,Adrienne Espinoza,Adrienne,Espinoza,"677 Derek Square
New Raymondland, WY 71873",WY,71873,1988-05-03,34,803.0,33.71,female,librarian,30,FIXED,0
10153,Samuel Miller,Samuel,Miller,"7000 Amy Springs
Gomezstad, MS 80973",MS,80973,1996-03-16,27,792.0,22.46,male,librarian,30,FIXED,0
10154,William Scott,William,Scott,"8783 Christopher Cliffs Suite 351
South Amyside, AS 34055",AS,34055,1992-05-20,30,333.0,87.9,male,contractor,30,FIXED,1
10155,Jennifer Walter,Jennifer,Walter,"9936 Patrick Stream
North Bethanymouth, VT 37405",VT,37405,1980-05-20,42,514.0,78.12,female,nurse,30,FIXED,1
10156,Anthony Stanton,Anthony,Stanton,"3703 Christopher Villages Apt. 179
North Raymondfort, IL 70775",IL,70775,1990-08-28,32,371.0,87.12,male,quantitative researcher,30,FIXED,1
10157,Zachary Martin,Zachary,Martin,"2352 Benjamin Haven
Lake Taylor, MS 61380",MS,61380,1995-02-11,28,802.0,31.62,male,salesman,30,FIXED,0
10158,Michael Gillespie,Michael,Gillespie,"08325 Samuel Isle Suite 810
Melissaport, DC 68677",DC,68677,1966-12-02,56,783.0,36.91,male,fireman,30,FIXED,0
10159,John Gay,John,Gay,"060 George Lane Suite 426
New Thomas, NE 97954",NE,97954,1972-02-11,51,505.0,54.0,male,electrician,30,FIXED,1
10160,Zachary Thompson,Zachary,Thompson,"4910 Fuller Crest
Lake Williamland, NH 62643",NH,62643,1983-04-29,39,357.0,84.11,male,salesman,30,FIXED,1
10161,Timothy Carlson,Timothy,Carlson,"54484 Lonnie Lakes Suite 568
West Kelseymouth, TX 48735",TX,48735,1953-06-13,69,354.0,79.6,male,salesman,30,FIXED,1
10162,Abigail Powell,Abigail,Powell,"0872 Berger Coves Apt. 890
Tonyachester, MH 56152",MH,56152,1986-07-15,36,549.0,61.97,female,mechanic,30,FIXED,1
